"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"1***5",,"star5","国产的IOS都一个样、用惯苹果系统相对来说就比较顺手…………","2018-12-23 01:15","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:37:49.2438067"
"c***y","PLUS会员","star5","重量很轻 苹果电脑果然高端上档次","2018-12-18 20:24","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:37:49.2737285"
"L***K","PLUS会员","star5","不错，挺好用的，活动的时候买的。","2018-12-17 22:12","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:37:49.3033791"
"此***称",,"star3","双十一抢的 全新未拆封 买错了型号 退不了 按双十一价格出手哦有需要可以联系**：*","2018-11-14 22:34","0","9","[购买3天后追评]","xian鱼：花样宝宝贝贝","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.6034835"
"j***p","PLUS会员","star5","用起来感觉还是不错的！挺好的","2018-12-26 12:37","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.6332812"
"j***1","PLUS会员","star5","第二次买了，不错，性价比高","2018-12-20 12:35","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.6601225"
"多***5","PLUS会员","star5","赞一下送货速度，早晨十一点前下单，下午送到家门口;买之前对比了华硕 惠普 戴尔等其他品牌，最终还是被这款小新的配置 轻薄的尺寸 价钱所吸引，买之前没有看真机，买回后也没失望，简洁大方，各边角处理的很圆润，不存在割手，很精致的感觉 键盘触感很好 键程也够用 屏幕体验很好 色彩鲜艳 硬屏 太阳下也能看清楚 配置对于一个不打游戏的人来说 上网办公 偶尔处理修图处理视频 这个配置足够了 唯一不美气的就是后续内存条不能升级加装 总之很满意 值得拥有！","2018-12-20 18:00","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.6902412"
"兴***证",,"star5","电脑很好，只是头一次用这系统，不熟悉！","2018-12-22 09:35","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.7238461"
"j***p",,"star5","现在开不了机了，该怎么说呢，","2018-12-25 22:47","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.7499705"
"j***u",,"star5","整体感觉还可以吧，应该是真的","2018-12-20 10:29","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.7701398"
"j***0",,"star5","苹果笔记本一直都这么好。","2018-12-16 20:31","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.8005660"
"j***l",,"star5","雪地靴非常温暖舒适，孩子在教室久坐也不怕冻脚了。脚胖的人建议买大一码，这样更舒适！好评满满，一款物美价廉的商品，等穿久了，再来追评。","2018-12-21 04:02","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.8332922"
"j***t",,"star5","经常网购，总有大量的包裹签收，感觉写评语花费了我大量的时间和精力，所以在一段时间里，我总是去随便写写评价，但是我又总感觉得好像有点对不住那些辛苦工作的卖家客服仓管老板，于是我写下了这么一小段话，给我觉得能得到我五星好评的卖家和商品，以表感谢和尊敬，首先宝贝是性价比很高的，我每次都会先试用再评价，虽然宝贝不一定是最好的，但在同等价位里面绝对是最棒的，希望店家再接再厉做得更大更强，提供更多更好的高质量商品给大家为中国制造添砖加瓦，再次给您的商品和服务点赞。","2018-12-20 19:16","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:04.8598282"
"j***s",,"star5","此用户未填写评价内容","2018-12-12 20:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.1701637"
"颖***桑",,"star5","此用户未填写评价内容","2018-12-11 11:47","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.1998854"
"老***y",,"star5","外观很不错，第一次买苹果的电脑，各方面都不错，操作上就是文档部分很不舒服，本身打算退货的，无奈，苹果的不支持七天无理由退货，哎，凑合用吧","2018-12-21 20:04","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.2402507"
"j***長",,"star5","很满意 用了一个小时 差不多都搞好了 iOS系统 还需要慢慢的熟悉下 期待~","2018-12-21 06:59","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.2702734"
"j***8",,"star5","物流快，产品不错！已经是第二台了，用的方便，三天一充电。不错！","2018-12-11 08:30","1","1","[购买6天后追评]","非常好！比我之前的好多了！","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.2898285"
"请***平",,"star5","很nice，不得不夸下京东的配送和客服，超级棒，试用了几天，真的很棒，喜欢的可以入手哦，反正小姐姐我拆包裹的心情是很愉悦的，哈哈哈","2018-12-22 10:17","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.3238436"
"E***v",,"star5","手感不错，系统很好上手。就是找了半天破解的办公软件很麻烦，哈哈哈哈哈","2018-12-17 17:51","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.3535747"
"一***着","PLUS会员","star5","感觉真的很好用，电量很耐用，超级信赖京东，比实体店便宜并且物流超级快，喜欢喜欢喜欢，还好秒杀买到，真实惠","2018-12-24 01:26","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.3831836"
"北极熊de夏天","PLUS会员","star5","去年也买了，今年多了赠品，还是挺不错的，","2018-12-26 13:41","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.4099253"
"c***人","PLUS会员","star5","双十一前几天买的，质量很好很快，也不卡，但是双十一当天还要便宜些，难不怪的大家都等到双十一当天才剁手","2018-12-20 00:32","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:20.4402609"
"b***e","PLUS会员","star5","电脑有活动时买的，超合适，苹果里面我觉得性价比最高的，系统很完善。送货很快。最主要的是有保价","2018-12-25 18:03","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.7124447"
"q***0",,"star5","很不错，第一次用苹果笔记本，慢慢适应新系统吧，office2016formac,从群里找人给整的，否则很别扭。","2018-12-17 14:43","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.7442661"
"9***7","PLUS会员","star5","用了一段时间，感觉软件打开多了，散热器响声很大，使用起来还是蛮流畅的，然后没想到那个苹果不亮灯T_T选银色就是因为那个灯，还不如选灰色的好看","2018-11-30 22:56","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.7702034"
"Z***0","PLUS会员","star5","超级好，物流快，非常满意的一次购物，赞赞赞，以后还会继续购物，体验特别好，服务很认真。","2018-12-19 10:40","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.7999954"
"捷***王","PLUS会员","star5","好用的一下就习惯了，觉得比win设计的更适合我。键盘也是很好用，就是为用户服务的理念","2018-12-17 08:32","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.8232056"
"夜***了",,"star5","#用了一个多点月平时上班没怎么用周末用的多开机越来越慢现在居然要5-6分钟啥子烂东西","2018-12-18 16:53","0","0","[购买45天后追评]",,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.8532367"
"李***缘",,"star5","信价比高，经济实惠。一次买两台。手感好，美观。电池巡航给你，一次充电可以使用10多个小时。赞?。","2018-12-20 14:06","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.8798869"
"Z***丶",,"star5","买贵了。。。当时着急用，苹果的质量没得说，一款手机用上好几年还跟新的一样啊，电脑肯定也没错！","2018-12-27 09:44","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.9036464"
"2***3",,"star5","自己去装了双系统。也算是在双十二给自己买的比较~吧。开机速度很快。装了双系统也不影响速度。","2018-12-23 13:26","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.9320535"
"g***9","PLUS会员","star5","说实话，买了苹果电脑，莫名的失落，不知道为什么，感觉没有想象中的好。","2018-12-26 18:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:35.9630140"
"辽***2","PLUS会员","star5","商品质量好，发货速度快，物流速度快，配送员耐心周到，京东值得信赖！","2018-12-21 19:41","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.2600494"
"浮***生","PLUS会员","star5","可能因为双12，物流略慢但是还是很快，自营的店就是质量有保障，不错","2018-12-17 20:20","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.2901360"
"w***0","PLUS会员","star5","用了一段时间，只是看看视频什么的，好未摸清，怎么用来办公用...","2018-12-23 23:14","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.3198303"
"p***1",,"star5","太好用了，系统使用起来很快，很方便，价格实惠，超级喜欢，比实体店便宜，京东送货就是快","2018-12-21 13:50","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.3398285"
"李***缘",,"star5","第一次购买苹果产品，不错，反应速度快，电池巡航时间久，在户外使用不担心充电问题。","2018-12-20 14:05","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.3731729"
"J***3","PLUS会员","star5","赶上活动买的，puls会员好处多多，轻薄，速度，高清。好评。","2018-12-18 09:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.4029364"
"本***捏","PLUS会员","star5","很不错，喜欢京东购物。速度快，质量有保证。价格比官网便宜","2018-12-17 22:59","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.4330498"
"天***l",,"star5","双十一买的，比平时便宜800多，觉得还挺便宜的，家里一直都是用都这个，还好用","2018-12-23 23:06","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.4629675"
"j***z","PLUS会员","star5","显示很完美，有很流畅，很好看，很好用很好，漂亮，很便宜。","2018-12-22 10:35","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.4902160"
"s***玲","PLUS会员","star5","京东自营速度很快，昨天买的今天就到了，一直相信京东的质量","2018-12-18 14:28","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:38:51.5129008"
"乡***人","PLUS会员","star5","给女朋友买的，她很喜欢！方便小巧，办公不错，其余的话**","2018-12-17 12:07","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.8088785"
"x***3","PLUS会员","star5","以前买过一台一摸一样的，它要是再小一点，再轻一点就好了！","2018-12-16 09:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.8401940"
"好***狗",,"star5","公司用的，标配，已经买了好几台了，从这款最便宜的到最贵的都有买，都没问题。","2018-12-26 01:39","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.8600807"
"佩***哦","PLUS会员","star5","还是挺不错的，很流畅，贵是贵了点，金色也是非常漂亮，棒棒哒！","2018-11-11 19:52","0","4",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.8925709"
"j***8",,"star5","双十一买的，水果质量好，京东值得信赖，用习惯了水果的系统还是很好用的。","2018-12-23 23:05","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.9219367"
"A***e","PLUS会员","star5","很不错，送货很快，东西很满意，以后还会在京东买东西","2018-12-18 17:05","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.9432229"
"清***日",,"star5","京东自营一直比较靠谱，苹果品质不错，刚用系统不太习惯，再体验一下来评价","2018-12-16 20:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:06.9902002"
"y***6","PLUS会员","star5","没有256G，将就买128G办办公，苹果系统好评","2018-12-26 11:26","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:07.0133837"
"z***b","PLUS会员","star5","笔记本不错 就是可用的app太少了 太少了！！！","2018-12-24 23:56","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:07.0435237"
"g***8","PLUS会员","star5","非常好，从京东上买东西又快又方便，还送到家门口。","2018-12-24 10:22","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:07.0702441"
"j***i","PLUS会员","star5","以前没有用过这个系统，感觉很流畅，需要适应一下。","2018-12-24 10:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.3534893"
"一***豆","PLUS会员","star5","特别不错，她很喜欢，有时间去做个双系统","2018-12-23 23:27","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.3880000"
"j***e","PLUS会员","star5","苹果就是好，可以安装的软件也很多，送货快，服务好","2018-12-23 18:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.4102538"
"q***1","PLUS会员","star5","用的很不错！办公、看视频都挺好的！屏幕显示可以！","2018-12-19 20:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.4400155"
"大***儿","PLUS会员","star5","样子很好！ 很流畅，画面显示也是不错的，值得购买","2018-12-16 22:38","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.4700897"
"j***t",,"star5","还没拆包装就直接给老板了，因为他一再嘱咐不要拆包装，估计是送人了吧","2018-12-20 07:10","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.5020106"
"j***n","PLUS会员","star5","送人的 自己并没有使用 但是送货小哥很贴心","2018-12-23 20:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.5299830"
"经***饰",,"star5","物流比我开车很快到了哈，非常满意，对这个没接触过，慢慢硏究哦！","2018-12-20 03:08","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.5527973"
"a***4",,"star5","正品全新未拆封，官网查询售后也是我@的时间，电池也1次循环","2018-12-21 21:06","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.6529919"
"j***0","PLUS会员","star5","公司电脑一直京东买，不过这价格波动太大了","2018-12-17 16:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:22.6800265"
"小***小","PLUS会员","star5","大品牌 一直信赖。京东购物 速度好快。","2018-12-20 12:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:37.9533442"
"d***1","PLUS会员","star5","非常好用了一天就上手了。图片颜色很正。","2018-12-19 02:02","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:37.9834242"
"E***p","PLUS会员","star5","应该是正品，但是不知道为啥开机有一个","2018-12-26 10:25","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:38.0132393"
"豆***x","PLUS会员","star5","苹果的东西比较牛，厉害呀！！！！！！","2018-12-24 12:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:38.0400717"
"j***a",,"star5","，还是比较好的，值得一买，送货也非常的快，希望多一些活动","2018-12-23 17:57","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:38.0630739"
"三***瑰","PLUS会员","star5","买台苹果体验下，还行吧简单办公用。。","2018-12-18 11:05","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:39:38.0935290"
